Temps (s);CH1 (V);CH2 (V)
-2.040000e-03;-0.200;-0.020
-2.038000e-03;-0.200;0.020
-2.036000e-03;-0.160;0.000
-2.034000e-03;-0.120;-0.040
-2.032000e-03;-0.120;0.020
-2.030000e-03;-0.080;0.020
-2.028000e-03;-0.080;0.020
-2.026000e-03;-0.040;0.000
-2.024000e-03;-0.040;0.000
-2.022000e-03;-0.040;0.000
-2.020000e-03;0.000;-0.020
-2.018000e-03;0.040;0.000
-2.016000e-03;0.080;-0.020
-2.014000e-03;0.080;0.020
-2.012000e-03;0.120;-0.020
-2.010000e-03;0.120;0.020
-2.008000e-03;0.160;0.020
-2.006000e-03;0.160;0.000
-2.004000e-03;0.200;0.020
-2.002000e-03;0.200;0.020
-2.000000e-03;0.240;0.020
-1.998000e-03;0.240;-0.080
-1.996000e-03;0.280;0.020
-1.994000e-03;0.280;0.000
-1.992000e-03;0.320;0.000
-1.990000e-03;0.320;0.000
-1.988000e-03;0.360;0.020
-1.986000e-03;0.400;0.000
-1.984000e-03;0.400;-0.020
-1.982000e-03;0.440;-0.020
-1.980000e-03;0.480;0.000
-1.978000e-03;0.480;-0.020
-1.976000e-03;0.520;0.000
-1.974000e-03;0.520;0.020
-1.972000e-03;0.560;0.000
-1.970000e-03;0.600;0.000
-1.968000e-03;0.600;0.000
-1.966000e-03;0.640;-0.060
-1.964000e-03;0.640;0.000
-1.962000e-03;0.680;0.020
-1.960000e-03;0.680;0.020
-1.958000e-03;0.680;0.000
-1.956000e-03;0.720;0.020
-1.954000e-03;0.760;0.000
-1.952000e-03;0.760;0.040
-1.950000e-03;0.840;0.000
-1.948000e-03;0.840;0.000
-1.946000e-03;0.840;0.000
